id,graph_Da,graph_Db,graph_Dc,graph_Dd,graph_De
1,0.123,-0.0396,0.0696,0.0318,-0.0928
2,-0.0552,-0.1076,-0.0936,-0.0155,0.0056
3,0.0597,-0.2409,0.0846,0.1101,0.0623
4,0.0615,0.1082,0.1289,-0.1478,-0.072
5,-0.0814,0.0251,0.1129,0.0264,0.108
6,0.2607,-0.1329,0.1706,0.2387,-0.1411
7,-0.1865,0.1151,0.2099,0.0211,-0.0256
8,0.0244,-0.0044,-0.1475,-0.0835,-0.0411
9,-0.0419,-0.0749,0.1295,0.0949,0.0274
10,0.094,-0.0544,0.1072,0.1816,0.1384
11,-0.5081,0.3789,-0.1409,0.3517,-0.1155
12,0.0962,0.2194,0.133,-0.1395,0.0514
13,0.1352,-0.0147,0.1911,-0.0273,0.0982
14,0.1179,0.0427,0.1142,0.0669,0.0236
15,-0.0693,-0.0746,0.2019,0.2256,-0.033
16,-0.0227,0.0863,0.04,0.0989,-0.0562
17,-0.0483,0.0816,-0.0676,0.1862,0.034
18,-0.1044,-0.0701,-0.2493,-0.2402,0.0061
19,-0.2102,0.1071,0.0003,0.0523,-0.0005
20,0.0837,0.0662,0.0019,0.1208,0.0856
21,0.2505,0.085,-0.0312,-0.2016,0.1251
22,-0.0103,-0.1829,-0.1188,-0.0154,-0.0382
23,0.0613,0.1232,-0.1328,-0.1186,0.1539
24,0.0619,0.0143,-0.1183,-0.0341,-0.1624
25,0.2616,0.1657,-0.0123,-0.2239,0.2271
26,0.1184,-0.0792,-0.0262,-0.051,0.155
27,-0.127,-0.0785,0.1915,0.077,-0.1354
28,0.0122,0.1332,-0.123,0.1529,0.2189
29,-0.1049,-0.1001,0.0858,-0.0539,-0.079
30,-0.0237,0.0609,-0.1133,-0.077,0.0099
31,-0.1521,-0.1699,-0.0927,-0.072,-0.0047
32,0.0518,0.0683,-0.0984,0.2598,-0.066
33,-0.0644,-0.1384,-0.1569,-0.2246,-0.2186
34,0.2088,0.264,0.0285,-0.1701,-0.1148
35,-0.4339,0.1868,0.0321,-0.3256,-0.3309
36,0.1773,0.1938,0.1218,0.0564,-0.1479
37,0.1785,0.2165,-0.0838,0.0047,0.0202
38,-0.114,0.1065,0.1302,-0.0437,-0.2631
39,0.0013,0.1409,-0.1298,0.0818,0.0929
40,0.0251,-0.2219,-0.1529,0.0296,0.1499
41,0.0909,0.1766,-0.0058,0.0678,0.0138
42,0.0146,0.0248,0.00031,-0.338,0.0611
43,-0.0602,-0.0906,-0.0694,0.0517,-0.2015
44,0.1827,-0.1153,-0.1927,-0.0015,-0.1927
45,0.1169,0.0074,-0.0377,0.2123,0.1397
46,-0.1861,-0.1357,0.1492,0.1309,-0.1269
47,-0.1441,-0.1134,-0.1562,-0.0215,-0.075
48,-0.1075,0.1994,-0.0995,0.0434,-0.22
49,-0.0585,-0.1161,0.1303,-0.3643,0.1434
50,-0.026,0.144,-0.0537,-0.224,0.2073
51,-0.2136,-0.1035,0.0869,-0.147,-0.0474
52,0.1034,-0.0009,-0.1625,-0.1498,0.1186
53,0.0262,-0.0733,0.0978,0.0474,0.0112
54,0.0784,0.2695,0.0313,-0.1322,0.1551
55,0.097,0.0199,-0.1841,0.173,-0.0652
56,-0.1555,0.047,0.2043,-0.0757,0.1772
57,0.2178,0.0723,-0.2225,-0.1326,-0.0186
58,0.0265,0.089,-0.1089,-0.056,0.1547
59,0.0703,0.0698,0.0496,0.2221,0.3031
60,-0.0013,0.0784,0.0884,0.027,0.0603
61,-0.0327,-0.1284,0.0227,-0.292,-0.1385
62,-0.1472,0.0171,-0.0337,-0.1367,-0.3114
63,-0.276,0.2223,-0.0399,0.1739,-0.0319
64,-0.0348,-0.0733,-0.0964,0.2075,0.089
65,-0.2199,0.1218,0.1067,0.1706,0.1253
66,0.0209,-0.196,-0.03,-0.0867,-0.0688
67,-0.2877,-0.0439,0.0502,-0.1204,0.1392
68,-0.0949,-0.0835,-0.0368,0.1299,-0.0492
69,-0.1404,-0.111,0.0501,-0.0488,0.1534
70,-0.0426,0.1341,0.1733,-0.1182,-0.0204
71,0.1937,0.2674,-0.0543,0.2017,-0.0811
72,0.1346,-0.0236,0.1797,-0.116,-0.1905
73,-0.2174,-0.0186,0.0919,0.1292,-0.0689
74,0.0686,-0.0258,-0.0913,0.0507,0.1146
75,-0.0673,-0.178,0.0855,0.0266,-0.0923
76,0.1327,-0.0797,0.1223,-0.0384,-0.0015
77,0.0582,-0.0517,0.0555,0.0046,0.0782
78,0.2437,0.2575,-0.1024,0.0165,-0.1895
79,-0.0039,-0.2122,0.2375,0.1124,-0.304
80,0.0739,0.046,-0.1382,0.0446,-0.2399
81,0.0085,-0.0334,-0.2574,0.1472,0.1467
82,-0.0133,0.118,-0.1284,0.0263,0.0491
