road_id,pixel_hue,pixel_satu,pixel_ligh,pixel_egde,pixel_thre,beautiful,boring,depressing,lively,safety,wealthy,seg_building,seg_sky,seg_floor,seg_tree,seg_ceiling,seg_road,seg_bed,seg_windowpane,seg_grass,seg_cabinet,seg_sidewalk,seg_person,seg_earth,seg_door,seg_table,seg_mountain,seg_plant,seg_curtain,seg_chair,seg_car,seg_water,seg_painting,seg_sofa,seg_shelf,seg_house,seg_sea,seg_mirror,seg_rug,seg_field,seg_armchair,seg_seat,seg_fence,seg_desk,seg_rock,seg_wardrobe,seg_lamp,seg_bathtub,seg_railing,seg_cushion,seg_base,seg_box,seg_column,seg_signboard,seg_chest of drawers,seg_counter,seg_sand,seg_sink,seg_skyscraper,seg_fireplace,seg_refrigerator,seg_grandstand,seg_path,seg_stairs,seg_runway,seg_case,seg_pool table,seg_pillow,seg_screen door,seg_stairway,seg_river,seg_bridge,seg_bookcase,seg_blind,seg_coffee table,seg_toilet,seg_flower,seg_book,seg_hill,seg_bench,seg_countertop,seg_stove,seg_palm,seg_kitchen island,seg_computer,seg_swivel chair,seg_boat,seg_bar,seg_arcade machine,seg_hovel,seg_bus,seg_towel,seg_light,seg_truck,seg_tower,seg_chandelier,seg_awning,seg_streetlight,seg_booth,seg_television receiver,seg_airplane,seg_dirt track,seg_apparel,seg_pole,seg_land,seg_bannister,seg_escalator,seg_ottoman,seg_bottle,seg_buffet,seg_poster,seg_stage,seg_van,seg_ship,seg_fountain,seg_conveyer belt,seg_canopy,seg_washer,seg_plaything,seg_swimming pool,seg_stool,seg_barrel,seg_basket,seg_waterfall,seg_tent,seg_bag,seg_minibike,seg_cradle,seg_oven,seg_ball,seg_food,seg_step,seg_tank,seg_trade name,seg_microwave,seg_pot,seg_animal,seg_bicycle,seg_lake,seg_dishwasher,seg_screen,seg_blanket,seg_sculpture,seg_hood,seg_sconce,seg_vase,seg_traffic light,seg_tray,seg_ashcan,seg_fan,seg_pier,seg_crt screen,seg_plate,seg_monitor,seg_bulletin board,seg_shower,seg_radiator,seg_glass,seg_clock,seg_flag,obj_person,obj_traffic light,obj_fire hydrant,obj_street sign,obj_stop sign,obj_parking meter,obj_bench,obj_bird,obj_cat,obj_dog,obj_horse,obj_bicycle,obj_sheep,obj_cow,obj_elephant,obj_bear,obj_zebra,obj_giraffe,obj_hat,obj_backpack,obj_umbrella,obj_shoe,obj_car,obj_eye glasses,obj_handbag,obj_tie,obj_suitcase,obj_frisbee,obj_skis,obj_snowboard,obj_sports ball,obj_kite,obj_baseball bat,obj_motorcycle,obj_baseball glove,obj_skateboard,obj_surfboard,obj_tennis racket,obj_bottle,obj_plate,obj_wine glass,obj_cup,obj_fork,obj_knife,obj_airplane,obj_spoon,obj_bowl,obj_banana,obj_apple,obj_sandwich,obj_orange,obj_broccoli,obj_carrot,obj_hot dog,obj_pizza,obj_bus,obj_donut,obj_cake,obj_chair,obj_couch,obj_potted plant,obj_bed,obj_mirror,obj_dining table,obj_window,obj_desk,obj_train,obj_toilet,obj_door,obj_tv,obj_laptop,obj_mouse,obj_remote,obj_keyboard,obj_cell phone,obj_microwave,obj_oven,obj_truck,obj_toaster,obj_sink,obj_refrigerator,obj_blender,obj_book,obj_clock,obj_vase,obj_scissors,obj_teddy bear,obj_hair drier,obj_boat,obj_toothbrush
1,0.570815253,0.280691846,0.40721056,0.653939502,0.460623727,0.524488319,0.51267004,0.506617239,0.390304713,0.383760679,0.323615453,0.317270083,0.000793808,0,0.377721017,0,0.216943879,0,0,0.008511617,0,0.049400051,0.24403183,0,0,0,0,0.002941898,0,0,0.305840995,0,0,0,0,0,0,0,0,0,0,0,0.009150552,0,0,0,0,0,0,0,0,0,0,0.000253421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000731529,0,0,0,0.005847953,0,0,0,0,0,0.006675567,0,0,0.024,0,0,0,0,0,0.037087445,0,0,0,0,0,0,0,0,0,0,0,0,0.005050505,0.000652529,0,0,0,0,0,0,0,0,0,0,0.007558406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034188034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056105611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.766954592,0.055412011,0.538427237,0.239985917,0.070962448,0.542393859,0.510923021,0.307402501,0.426269895,0.473963731,0.519171191,0.263497476,0.336662918,0,0.151440831,0,0.586441174,0,0,0.005112082,0,0.007687289,0.01925533,0,0,0,0,0.000435837,0,0,0.339252449,0,0,0,0,0,0,0,0,0,0,0,0.053291897,0,0,0,0,0,0.004485981,0,0,0,0,0.000112632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001661521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000780412,0,0,0.003197052,0,0,0,0.001299545,0,0,0,0,0,0.005340454,0,0,0.004619048,0,0,0,0,0,0.00551964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008547009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313531353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
3,0.67240699,0.067983041,0.573074603,0.148192922,0.11991523,0.522380442,0.554476535,0.382993872,0.363484469,0.462089987,0.411455192,0.061464915,0.713554277,0,0.137476014,0,0.715184875,0,0,0.004508857,0,0.003846481,0.025464191,0.00206385,0,0,0,0.023551524,0,0,0.19314945,0,0,0,0,0,0,0,0,0,0,0,0.066712707,0,0,0,0,0,0.019439252,0,0,0,0,0.010170637,0,0,0,0,0,0,0,0,0,0.001915709,0,0,0,0,0,0,0,0.029163412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000620877,0,0,0,0.00199005,0,0,0.01329757,0,0,0,0.021832358,0,0,0,0,0,0.229817535,0,0,0.001142857,0,0,0,0,0,0.029375071,0.002398082,0,0,0,0,0,0,0,0,0,0,0,0,0.000282762,0,0,0,0,0,0,0,0,0.000380953,0,0.000458085,0,0,0,0,0,0,0,0,0.001010101,0,0.003921568,0,0,0,0,0,0,0,0,0,0,0.001672241,0.068376068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415841584,0,0,0,0,0,0,0,0,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0.431818182,0,0,0,0,0,0,0,0,0,0,0,0
4,0.384461802,0.183400633,0.475719928,0.215306272,0.315303369,0.54254535,0.494821816,0.373721164,0.448011676,0.409662671,0.428134808,0.012135192,0.43441159,0,0.471960657,0,0.849587172,0,0,0.000920175,0,0.002042379,0.008841733,0,0,0,0,0.015199804,0,0,0.038939968,0,0,0,0,0,0,0,0,0,0,0,0.01070442,0,0,0,0,0,0,0,0.002464572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01650165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.257469509,0.313853933,0.43922206,0.590413818,0.62628765,0.692389938,0.431171027,0.403373434,0.363456691,0.426311117,0.418228179,0.347156755,0.144373884,0.02519337,0.388852884,0,0.125403853,0,0,0,0,0.158284401,0.049513705,0,0,0,0,0.014832067,0,0,0.086398053,0,0.001391788,0,0,0,0,0,0,0,0,0,0.073377072,0,0,0,0,0,0,0,0.167590881,0.002285192,0,0.01292448,0,0,0,0,0,0,0,0,0,0.003831418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00620877,0,0,0,0,0,0,0.021823945,0,0,0,0,0,0,0,0,0,0.38317757,0,0,0.010285714,0,0,0,0,0,0.056311671,0,0,0,0,0.020986745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018918919,0,0,0,0,0,0.114979386,0,0,0,0,0,0,0,0,0.007575758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051282051,0,0.055555556,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01650165,0,0,0,0,0,0,0,0,0,0,0.051282051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.420858801,0.229206049,0.441255803,0.288451728,0.387188282,0.437386074,0.524375326,0.533319762,0.503098691,0.485442723,0.458717297,0.224230268,0.47751538,0,0.138004651,0,0.265693431,0,0,0.000460087,0,0.047740618,0.034659593,0.107965173,0.081655172,0,0,0.122137779,0,0,0.089507842,0,0,0,0,0,0,0,0,0,0,0,0.321546961,0,0,0,0,0,0.008074766,0,0,0,0,0.007501267,0,0,0,0,0.007413793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000543267,0,0,0,0.000234124,0,0,0,0,0,0,0.001169591,0,0,0,0,0,0.099332443,0,0,0,0,0,0,0,0,0.053215379,0,0,0,0,0,0,0,0,0,0,0,0,0.0003367,0.000130506,0,0,0,0,0,0,0,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0,0.02459893,0,0,0,0,0,0,0,0,0,0,0.008361204,0.034188034,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.105610561,0,0,0,0,0,0,0,0,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
7,0.388786398,0.223861788,0.459249334,0.31517023,0.432038702,0.454300216,0.516789027,0.567879502,0.339231504,0.471138636,0.190469311,0.270083241,0.494542568,0,0.02180626,0,0.000478641,0,0,0,0,0.01787082,0.01061008,0,0,0,0,0.033341505,0,0,0.032449973,0,0,0,0,0,0,0,0,0,0,0,0.003107735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432748538,0,0,0,0,0,0.021361816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008361204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00660066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
8,0.441333568,0.244730933,0.422288148,0.571192373,0.421549844,0.544823517,0.585730798,0.303691836,0.663063852,0.57139642,0.546063957,0.370674957,0.097241516,0,0.199763638,0,0.609788202,0,0,0,0,0.004084759,0.004420866,0,0,0,0,0.069624908,0,0,0.445916712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105351171,0.008547009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.02310231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.447308376,0.232820712,0.403445363,0.428520557,0.405004209,0.442061823,0.425311803,0.389144607,0.441040461,0.543148812,0.415605212,0.424832013,0.134153602,0,0.086615074,0,0.619839655,0,0,0,0,0.087311718,0.035366932,0,0,0,0,0.041186565,0,0,0.24851271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000652529,0,0,0,0,0,0,0,0,0,0,0.009619789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068376068,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0.02640264,0,0,0,0,0,0,0,0,0,0,0.051282051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.560273958,0.233088256,0.459991187,0.378683286,0.492250509,0.402120472,0.45522668,0.625256777,0.563407132,0.505971978,0.520522848,0.528633036,0.102259519,0,0.066660494,0,0.463597668,0,0,0,0,0.030343922,0.062776304,0,0,0,0,0.01852695,0,0,0.217762497,0,0,0,0,0,0,0,0,0,0,0,0.016771902,0,0,0,0,0,0,0,0,0,0,0.002823836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007818053,0,0,0.000243843,0,0,0,0.005847953,0,0,0,0,0,0.074766355,0,0,0.000244898,0,0.000316756,0,0,0,0.017109804,0,0,0,0,0,0,0,0,0,0,0,0,0.006734007,0.053600559,0,0,0,0,0,0,0,0,0,0,0.018781493,0,0,0,0,0,0,0,0,0.006493507,0,0.017570665,0,0,0,0,0,0,0,0,0.001058201,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0.250825083,0,0,0,0,0,0,0,0,0,0,0.128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
